id,username,tweet
1932968306,finarocks,is really digging The Horrors right now 
1932968371,sampada,@shradhac Thanks 
1932968382,yay4renee,Just got done watching some Buffy. Hurray it's Bryans Bday Dinner Tonight 
1932968415,eddric,"@mastertaxton hey, just checking. I'll be in encinitas sometime in july. "
1932968442,riztacular,Since when was being courteous crime? Somehow my name is in drama all the time 
1932968477,LaverneLOVE,@mirrortiffanyj finish @mariosoultruth quote! 
1932968506,nic0lepaula,Different types of mochi for dessert... Attackkk!   http://twitpic.com/61frc
1932968507,pookeynoodlex,@victoriaaa_ lol wing it ;) gotta goooo by bye enjoy work 
1932968564,thehappykid,"@punkful dati i get to talk to handlers pa when i was doing office/events. pero mas importante, prioritize your studies. the best yun! "
1932968574,lain7,"@daveo0 thanks, me too "
1932968630,Dannnnee,"@ShainaW Oh yeah I forgot about that, Nick Jonas is sexy "
1932968644,Born_4_Broadway,"Goodnight, twitterverse "
1932968692,swmy,'I didn't know you'd be my everything.' Aww.. 
1932968715,likenoother11,chilln in the crib......talkn on the phone to my bff 
1932968829,LoveKeturah,@YaeBoogie greeeaaat! Dreading work in the am...but what else is new! 
1932968842,bawdyjane,@morteldri Wow... Talk about getting your money's worth  Can't wait!
1932968850,magui042,@mileycyrus just listening your music!! you're amazing 
1932968858,piamagalona,shares the right side of my face is paralyzed due to dentist's anesthesia! haha imagine that!  http://plurk.com/p/whibd
1932968918,sweeneystar,Love the smell of clean sheets...gonna sleep good tonight 
1932968954,mocha59,@DivadNhoj1981 We must stay strong.We must not fold.We know we fight the Good Fight.We got this!  I laugh at #rwnj Deflections...
1932969016,LesMarianne,@officialcharice hi! How r u doing? Do u have any great pics frm italy? U should post 'em on Twitpic so we can see. 
1932969063,cnicoleprgirl,"@JoeBlackAttacks yea at first I was deleting them, but then I decided to let the world see the ignorance and its cool I'm good though "
1932969070,stavrose,@tiffanyrohe it's about time! 
1932969157,SugarLips96,"my picture shows up if you follow me, I swear   I'm so tired!  Goodnight everyone.  Pyro is wonderful &lt;3"
1932969237,amberrhoadley,"was successful with the shaving cream and post-it notes... and the balloons, and the streamers... yeah, now it's bed time "
1932969239,SuzaneGibson,You are the best thing that's ever happend to me 
1932969242,mkaeag,@SamSkelton are you spying on Greg's computer? He's been playing the youtube vid of the famous CM song for days now 
1932969269,firenza00,@TheCosmicJester How do we score an invite?  
1932969307,andreadln,I need a muscle man for a photo shoot. You know who you are. I promise to make it fun 
1932969386,gryshee,@joondashbug Thanks 
1932969422,BoriMischief,@welanie Hahaha yes they should. 
1932969468,RabbiShaiSpecht,@pal013 We need to do more of that 
1932969487,xoxoniqui,@ASelenaGomezFan thanks for the follow! wow! over a thousand followers already? @selenagomez would be soo proud! 
1932969496,misshemmett,@MartyHolcomb Hello and thanks for the re-tweet. 
1932969522,marakristina,EATING HAHA!! 
1932969533,ParulBh,@rushiv yeap yeap :o) I'm just so eager for it to come out I cant stop looking for its 'sneak peeks' on the Net 
1932969552,AlyxandraB,@MarishHargitay I love ANY episode of SVU &lt;3 and you always look gorgeous in all of them 
1932969554,pookeynoodlex,off to work  bye yall
1932969569,XxJustinxX,listened to sky eats airplanes cover of nookie... eh maybe if i liked the original i would like it.. but it was just not my style 
1932969586,DireStraitsFTW,"@MacyCan Oh, you and your silly California time zone. "
1932969601,KNicholeMusic,#unfollowdiddy FOLLOW ME!!!! 
1932969619,KaiBizZle,I jizzed all over shorty face! ( Lmaoo ) @MajorHarris I used it right??? 
1932969676,thexC00l,"Just painted my nails and finished both of my projects, time for bed noww. Good night twits "
1932969735,jaykayend,"june 8th needs to hurry the eff up 'cause i wanna cuddle. anyway, party party this weekend for gi's grad. it's gonna be ridic and silly "
